year,mean_short_rate,se
1,0.0767942771682,0.000102227694988
2,0.0819536882511,0.000129421967884
3,0.0858577853643,0.000144653482181
4,0.0891979844877,0.000152262568527
5,0.091192709563,0.000156603573893
6,0.0931473418745,0.000159270319113
7,0.0950011124102,0.000160714112177
8,0.0958414422628,0.000160760905607
9,0.0967821875232,0.000162469367553
10,0.0972270427519,0.000161660817104
11,0.0982500499563,0.000162263636835
12,0.0983524659117,0.000161802017876
13,0.0988194594684,0.000163188090122
14,0.0991439166706,0.000163640873626
15,0.0992685454309,0.00016262971294
